synset_id,synset_name,definition
n01669191,box_turtle,chiefly terrestrial turtle of North America; shell can be closed tightly
n01675722,banded_gecko,any of several geckos with dark bands across the body and differing from typical geckos in having movable eyelids; of United States southwest and Florida Gulf Coast
n01677366,common_iguana,large herbivorous tropical American arboreal lizards with a spiny crest along the back; used as human food in Central America and South America
n01682714,american_chameleon,small arboreal tropical American insectivorous lizards with the ability to change skin color
n01685808,whiptail,any of numerous very agile and alert New World lizards
n01687978,agama,small terrestrial lizard of warm regions of the Old World
n01688243,frilled_lizard,large arboreal insectivorous Australian lizard with a ruff of skin around the neck
n01689811,alligator_lizard,slim short-limbed lizard having a distinctive fold on each side that permits expansion; of western North America
n01692333,gila_monster,large orange and black lizard of southwestern United States; not dangerous unless molested
n01693334,green_lizard,a common Eurasian lizard about a foot long
n01694178,african_chameleon,a chameleon found in Africa
n01695060,komodo_dragon,the largest lizard in the world (10 feet); found on Indonesian islands
n01697457,african_crocodile,a dangerous crocodile widely distributed in Africa
n01698640,american_alligator,large alligator of the southeastern United States
n01704323,triceratops,huge ceratopsian dinosaur having three horns and the neck heavily armored with a very solid frill
n01728572,thunder_snake,small reddish wormlike snake of eastern United States
n01728920,ringneck_snake,any of numerous small nonvenomous North American snakes with a yellow or orange ring around the neck
n01729322,hognose_snake,harmless North American snake with upturned nose; may spread its head and neck or play dead when disturbed
n01729977,green_snake,either of two North American chiefly insectivorous snakes that are green in color
n01734418,king_snake,any of numerous nonvenomous North American constrictors; feed on other snakes and small mammals
n01735189,garter_snake,any of numerous nonvenomous longitudinally-striped viviparous North American and Central American snakes
n01737021,water_snake,any of various mostly harmless snakes that live in or near water
n01739381,vine_snake,slender arboreal snake found from southern Arizona to Bolivia
n01740131,night_snake,nocturnal prowler of western United States and Mexico
n01742172,boa_constrictor,very large boa of tropical America and West Indies
n01744401,rock_python,very large python of tropical and southern Africa
n01748264,indian_cobra,a cobra of tropical Africa and Asia
n01749939,green_mamba,green phase of the black mamba
n01751748,sea_snake,any of numerous venomous aquatic viviparous snakes having a fin-like tail; of warm littoral seas; feed on fish which they immobilize with quick-acting venom
n01753488,horned_viper,highly venomous viper of northern Africa and southwestern Asia having a horny spine above each eye
n01755581,diamondback,large deadly rattlesnake with diamond-shaped markings
n01756291,sidewinder,small pale-colored desert rattlesnake of southwestern United States; body moves in an s-shaped curve
n01768244,trilobite,an extinct arthropod that was abundant in Paleozoic times; had an exoskeleton divided into three parts
n01770081,harvestman,spiderlike arachnid with a small rounded body and very long thin legs
n01770393,scorpion,arachnid of warm dry regions having a long segmented tail ending in a venomous stinger
n01773157,black_and_gold_garden_spider,a widely distributed North American garden spider
n01773549,barn_spider,an orange and tan spider with darkly banded legs that spins an orb web daily
n01773797,garden_spider,a spider common in European gardens
n01774384,black_widow,venomous New World spider; the female is black with an hourglass-shaped red mark on the underside of the abdomen
n01774750,tarantula,large hairy tropical spider with fangs that can inflict painful but not highly venomous bites
n01775062,wolf_spider,ground spider that hunts its prey instead of using a web
n01776313,tick,any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals
n01784675,centipede,"chiefly nocturnal predacious arthropod having a flattened body of 15 to 173 segments each with a pair of legs, the foremost pair being modified as prehensors"
n01795545,black_grouse,grouse of which the male is bluish-black
n01796340,ptarmigan,large Arctic and subarctic grouse with feathered feet and usually white winter plumage
n01797886,ruffed_grouse,valued as a game bird in eastern United States and Canada
n01798484,prairie_chicken,brown mottled North American grouse of western prairies
n01806143,peacock,male peafowl; having a crested head and very large fanlike tail marked with iridescent eyes or spots
n01806567,quail,small gallinaceous game birds
n01807496,partridge,small Old World gallinaceous game birds
n01817953,african_grey,commonly domesticated grey parrot with red-and-black tail and white face; native to equatorial Africa
n01818515,macaw,long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots
n01819313,sulphur-crested_cockatoo,white cockatoo with a yellow erectile crest
n01820546,lorikeet,any of various small lories
n01824575,coucal,Old World ground-living cuckoo having a long dagger-like hind claw
n01828970,bee_eater,colorful chiefly tropical Old World bird having a strong graceful flight; feeds on especially bees
n01829413,hornbill,bird of tropical Africa and Asia having a very large bill surmounted by a bony protuberance; related to kingfishers
n01833805,hummingbird,tiny American bird having brilliant iridescent plumage and long slender bills; wings are specialized for vibrating flight
n01843065,jacamar,tropical American insectivorous bird having a long sharp bill and iridescent green or bronze plumage
n01843383,toucan,brilliantly colored arboreal fruit-eating bird of tropical America having a very large thin-walled beak
n01847000,drake,adult male of a wild or domestic duck
n01855032,red-breasted_merganser,widely distributed merganser of America and Europe
n01855672,goose,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
n01860187,black_swan,large Australian swan having black plumage and a red bill
n01871265,tusker,any mammal with prominent tusks (especially an elephant or wild boar)
n01872401,echidna,a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to Australia
n01873310,platypus,small densely furred aquatic monotreme of Australia and Tasmania having a broad bill and tail and webbed feet; only species in the family Ornithorhynchidae
n01877812,wallaby,any of various small or medium-sized kangaroos; often brightly colored
n01882714,koala,sluggish tailless Australian arboreal marsupial with grey furry ears and coat; feeds on eucalyptus leaves and bark
n01883070,wombat,burrowing herbivorous Australian marsupials about the size of a badger
n01910747,jellyfish,any of numerous usually marine and free-swimming coelenterates that constitute the sexually reproductive forms of hydrozoans and scyphozoans
n01914609,sea_anemone,marine polyps that resemble flowers but have oral rings of tentacles; differ from corals in forming no hard skeleton
n01917289,brain_coral,massive reef-building coral having a convoluted and furrowed surface
n01924916,flatworm,parasitic or free-living worms having a flattened body
n01930112,nematode,unsegmented worms with elongated rounded body pointed at both ends; mostly free-living but some are parasitic
n01943899,conch,any of various edible tropical marine gastropods of the genus Strombus having a brightly-colored spiral shell with large outer lip
n01944390,snail,freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell
n01945685,slug,any of various terrestrial gastropods having an elongated slimy body and no external shell
n01950731,sea_slug,any of various marine gastropods of the suborder Nudibranchia having a shell-less and often beautifully colored body
n01955084,chiton,primitive elongated bilaterally symmetrical marine mollusk having a mantle covered with eight calcareous plates
n01968897,chambered_nautilus,cephalopod of the Indian and Pacific oceans having a spiral shell with pale pearly partitions
n01978287,dungeness_crab,small edible crab of Pacific coast of North America
n01978455,rock_crab,crab of eastern coast of North America
n01980166,fiddler_crab,burrowing crab of American coastal regions having one claw much enlarged in the male
n01981276,king_crab,large edible crab of northern Pacific waters especially along the coasts of Alaska and Japan
n01983481,american_lobster,lobster of Atlantic coast of America
n01984695,spiny_lobster,large edible marine crustacean having a spiny carapace but lacking the large pincers of true lobsters
n01985128,crayfish,small freshwater decapod crustacean that resembles a lobster
n01986214,hermit_crab,small soft-bodied marine crustaceans living in cast-off shells of gastropods
n01990800,isopod,any of various small terrestrial or aquatic crustaceans with seven pairs of legs adapted for crawling
n02002556,white_stork,the common stork of Europe; white with black wing feathers and a red bill
n02002724,black_stork,Old World stork that is glossy black above and white below
n02006656,spoonbill,wading birds having a long flat bill with a tip like a spoon
n02007558,flamingo,large pink to scarlet web-footed wading bird with down-bent bill; inhabits brackish lakes
n02009229,little_blue_heron,small bluish-grey heron of the western hemisphere
n02009912,american_egret,a common egret of the genus Egretta found in America; it is a variety of the Old World white egret Casmerodius albus
n02011460,bittern,relatively small compact tawny-brown heron with nocturnal habits and a booming cry; found in marshes
n02012849,crane,large long-necked wading bird of marshes and plains in many parts of the world
n02013706,limpkin,"wading bird of Florida, Cuba and Jamaica having a drooping bill and a distinctive wailing call"
n02017213,european_gallinule,purple gallinule of southern Europe
n02018207,american_coot,a coot found in North America
n02018795,bustard,large heavy-bodied chiefly terrestrial game bird capable of powerful swift flight; classified with wading birds but frequents grassy steppes
n02025239,ruddy_turnstone,common Arctic turnstone that winters in South America and Australia
n02027492,red-backed_sandpiper,small common sandpiper that breeds in northern or Arctic regions and winters in southern United States or Mediterranean regions
n02028035,redshank,a common Old World wading bird with long red legs
n02033041,dowitcher,shorebird of the sandpiper family that resembles a snipe
n02037110,oystercatcher,black-and-white shorebird with stout legs and bill; feed on oysters etc.
n02051845,pelican,large long-winged warm-water seabird having a large bill with a distensible pouch for fish
n02056570,king_penguin,large penguin on islands bordering the Antarctic Circle
n02058221,albatross,large web-footed birds of the southern hemisphere having long narrow wings; noted for powerful gliding flight
n02066245,grey_whale,medium-sized greyish-black whale of the northern Pacific
n02071294,killer_whale,predatory black-and-white toothed whale with large dorsal fin; common in cold seas
n02074367,dugong,sirenian tusked mammal found from eastern Africa to Australia; the flat tail is bilobate
n02077923,sea_lion,any of several large eared seals of the northern Pacific related to fur seals but lacking their valuable coat
n02085620,chihuahua,an old breed of tiny short-haired dog with protruding eyes from Mexico held to antedate Aztec civilization
n02085782,japanese_spaniel,breed of toy dogs originating in Japan having a silky black-and-white or red-and-white coat
n02085936,maltese_dog,breed of toy dogs having a long straight silky white coat
n02086079,pekinese,a Chinese breed of small short-legged dogs with a long silky coat and broad flat muzzle
n02086240,shih-tzu,a Chinese breed of small dog similar to a Pekingese
n02086646,blenheim_spaniel,red-and-white variety of English toy spaniel
n02086910,papillon,small slender toy spaniel with erect ears and a black-spotted brown to white coat
n02087046,toy_terrier,a small active dog
n02087394,rhodesian_ridgeback,a powerful short-haired African hunting dog having a crest of reversed hair along the spine
n02088094,afghan_hound,tall graceful breed of hound with a long silky coat; native to the Near East
n02088238,basset,smooth-haired breed of hound with short legs and long ears
n02088364,beagle,a small short-legged smooth-coated breed of hound
n02088466,bloodhound,a breed of large powerful hound of European origin having very acute smell and used in tracking
n02088632,bluetick,a very fast American hound; white mottled with bluish grey
n02089078,black-and-tan_coonhound,American breed of large powerful hound dogs used for hunting raccoons and other game
n02089867,walker_hound,an American breed of foxhound
n02089973,english_foxhound,an English breed slightly larger than the American foxhounds originally used to hunt in packs
n02090379,redbone,a speedy red or red-and-tan American hound
n02090622,borzoi,tall fast-moving dog breed
n02090721,irish_wolfhound,large breed of hound with a rough thick coat
n02091032,italian_greyhound,a toy dog developed from the greyhound
n02091134,whippet,small slender dog of greyhound type developed in England
n02091244,ibizan_hound,breed of slender agile medium-sized hound found chiefly in the Balearic Islands; said to have been bred originally by the Pharaohs of ancient Egypt
n02091467,norwegian_elkhound,breed of compact medium-sized dog with a heavy grey coat developed in Norway for hunting elk
n02091635,otterhound,hardy British hound having long pendulous ears and a thick coarse shaggy coat with an oily undercoat; bred for hunting otters
n02091831,saluki,old breed of tall swift keen-eyed hunting dogs resembling greyhounds; from Egypt and southwestern Asia
n02092002,scottish_deerhound,very large and tall rough-coated dog bred for hunting deer; known as the royal dog of Scotland
n02092339,weimaraner,large breed of hound having a smooth greyish coat; originated in Germany
n02093256,staffordshire_bullterrier,English breed of strong stocky dog having a broad skull and smooth coat
n02093428,american_staffordshire_terrier,American breed of muscular terriers with a short close-lying stiff coat
n02093647,bedlington_terrier,a light terrier groomed to resemble a lamb
n02093754,border_terrier,small rough-coated terrier of British origin
n02093859,kerry_blue_terrier,an Irish breed of medium-sized terriers with a silky blue-grey coat
n02093991,irish_terrier,medium-sized breed with a wiry brown coat; developed in Ireland
n02094114,norfolk_terrier,English breed of small terrier with a straight wiry grizzled coat and dropped ears
n02094258,norwich_terrier,English breed of small short-legged terrier with a straight wiry red or grey or black-and-tan coat and erect ears
n02094433,yorkshire_terrier,very small breed having a long glossy coat of bluish-grey and tan
n02095314,wire-haired_fox_terrier,a fox terrier with wiry hair
n02095570,lakeland_terrier,breed of wire-haired terrier originally from the Lake District of England and used for hunting
n02095889,sealyham_terrier,a wire-haired terrier with short legs that was first bred in Sealyham
n02096051,airedale,breed of large wiry-coated terrier bred in Yorkshire
n02096177,cairn,small rough-haired breed of terrier from Scotland
n02096294,australian_terrier,small greyish wire-haired breed of terrier from Australia similar to the cairn
n02096437,dandie_dinmont,a breed of small terrier with long wiry coat and drooping ears
n02096585,boston_bull,small pug-faced American terrier breed having a smooth brindle or black coat with white markings
n02097047,miniature_schnauzer,a small schnauzer
n02097130,giant_schnauzer,a large schnauzer
n02097209,standard_schnauzer,a medium-sized schnauzer
n02097298,scotch_terrier,old Scottish breed of small long-haired usually black terrier with erect tail and ears
n02097474,tibetan_terrier,breed of medium-sized terriers bred in Tibet resembling Old English sheepdogs with fluffy curled tails
n02097658,silky_terrier,Australian breed of toy dogs having a silky blue coat
n02098105,soft-coated_wheaten_terrier,Irish breed of medium-sized terrier with an abundant coat any shade of wheat and very hairy head and muzzle
n02098286,west_highland_white_terrier,small white long-coated terrier developed in Scotland
n02098413,lhasa,a breed of terrier having a long heavy coat raised in Tibet as watchdogs
n02099267,flat-coated_retriever,an English breed having a shiny black or liver-colored coat; retrieves game from land or water
n02099429,curly-coated_retriever,an English breed having a tightly curled black or liver-colored coat; retrieves game from land or water
n02099601,golden_retriever,an English breed having a long silky golden coat
n02099712,labrador_retriever,breed originally from Labrador having a short black or golden-brown coat
n02099849,chesapeake_bay_retriever,American breed having a short thick oily coat ranging from brown to light tan
n02100236,german_short-haired_pointer,liver or liver-and-white hunting dog developed in Germany; 3/4 pointer and 1/4 bloodhound
n02100583,vizsla,Hungarian hunting dog resembling the Weimaraner but having a rich deep red coat
n02100735,english_setter,an English breed having a plumed tail and a soft silky coat that is chiefly white
n02100877,irish_setter,an Irish breed with a chestnut-brown or mahogany-red coat
n02101006,gordon_setter,a Scottish breed with a black-and-tan coat
n02101388,brittany_spaniel,tall active short-tailed French breed of bird dog having a usually smooth orange- or liver-and-white coat
n02101556,clumber,a thickset spaniel with longish silky hair
n02102040,english_springer,a breed having typically a black-and-white coat
n02102177,welsh_springer_spaniel,a red-and-white breed slightly smaller than the English springer spaniel
n02102318,cocker_spaniel,a small breed with wavy silky hair; originally developed in England
n02102480,sussex_spaniel,an English breed with short legs and a golden liver-colored coat
n02102973,irish_water_spaniel,breed of large spaniels developed in Ireland having a heavy coat of liver-colored curls and a topknot of long curls and a nearly hairless tail
n02104029,kuvasz,long-established Hungarian breed of tall light-footed but sturdy white dog; used also as a hunting dog
n02104365,schipperke,breed of small stocky black dogs originally used as watchdogs on boats in the Netherlands and Belgium
n02105056,groenendael,black-coated sheepdog with a heavily plumed tail
n02105162,malinois,fawn-colored short-haired sheepdog
n02105251,briard,old French breed of large strong usually black dogs having a long tail and long wavy and slightly stiff coat
n02105412,kelpie,an Australian sheepdog with pointed ears
n02105505,komondor,Hungarian breed of large powerful shaggy-coated white dog; used also as guard dog
n02105641,old_english_sheepdog,large sheepdog with a profuse shaggy bluish-grey-and-white coat and short tail; believed to trace back to the Roman occupation of Britain
n02105855,shetland_sheepdog,a small sheepdog resembling a collie that was developed in the Shetland Islands
n02106030,collie,a silky-coated sheepdog with a long ruff and long narrow head developed in Scotland
n02106166,border_collie,developed in the area between Scotland and England usually having a black coat with white on the head and tip of tail used for herding both sheep and cattle
n02106382,bouvier_des_flandres,rough-coated breed used originally in Belgium for herding and guarding cattle
n02106550,rottweiler,German breed of large vigorous short-haired cattle dogs
n02106662,german_shepherd,breed of large shepherd dogs used in police work and as a guide for the blind
n02107142,doberman,medium large breed of dog of German origin with a glossy black and tan coat; used as a watchdog
n02107312,miniature_pinscher,small German version of a Doberman pinscher
n02107574,greater_swiss_mountain_dog,the largest of the four Swiss breeds
n02107683,bernese_mountain_dog,large powerful long-haired black-coated Swiss dog with deep tan or russet markings on legs and white blaze and feet and chest marking; formerly used for draft
n02107908,appenzeller,a smaller of the four Swiss breeds
n02108000,entlebucher,the smallest of the Sennenhunde
n02108089,boxer,a breed of stocky medium-sized short-haired dog with a brindled coat and square-jawed muzzle developed in Germany
n02108422,bull_mastiff,large powerful breed developed by crossing the bulldog and the mastiff
n02108551,tibetan_mastiff,very large powerful rough-coated dog native to central Asia
n02108915,french_bulldog,small stocky version of the bulldog having a sleek coat and square head
n02109047,great_dane,very large powerful smooth-coated breed of dog
n02109525,saint_bernard,a Swiss alpine breed of large powerful dog with a thick coat of hair used as a rescue dog
n02109961,eskimo_dog,breed of heavy-coated Arctic sled dog
n02110063,malamute,breed of sled dog developed in Alaska
n02110185,siberian_husky,breed of sled dog developed in northeastern Siberia; they resemble the larger Alaskan malamutes
n02110341,dalmatian,a large breed having a smooth white coat with black or brown spots; originated in Dalmatia
n02110627,affenpinscher,European breed of small dog resembling a terrier with dark wiry hair and a tufted muzzle
n02110806,basenji,small smooth-haired breed of African origin having a tightly curled tail and the inability to bark
n02110958,pug,small compact smooth-coated breed of Asiatic origin having a tightly curled tail and broad flat wrinkled muzzle
n02111129,leonberg,a large dog (usually with a golden coat) produced by crossing a St Bernard and a Newfoundland
n02111277,newfoundland,a breed of very large heavy dogs with a thick coarse usually black coat; highly intelligent dogs and vigorous swimmers; developed in Newfoundland
n02111500,great_pyrenees,bred of large heavy-coated white dogs resembling the Newfoundland
n02111889,samoyed,Siberian breed of white or cream-colored dog of the spitz family
n02112018,pomeranian,breed of very small compact long-haired dogs of the spitz type
n02112137,chow,breed of medium-sized dogs with a thick coat and fluffy curled tails and distinctive blue-black tongues; believed to have originated in northern China
n02112350,keeshond,a spitz-like dog having a shaggy greyish coat and tightly curled tail originating in Holland
n02112706,brabancon_griffon,a variety of Brussels griffon having a short smooth coat
n02113023,pembroke,the smaller and straight-legged variety of corgi having pointed ears and a short tail
n02113186,cardigan,slightly bowlegged variety of corgi having rounded ears and a long tail
n02113624,toy_poodle,the breed of very small poodles
n02113712,miniature_poodle,a breed of small poodles
n02113799,standard_poodle,a breed or medium-sized poodles
n02113978,mexican_hairless,any of an old breed of small nearly hairless dogs of Mexico
n02114367,timber_wolf,a wolf with a brindled grey coat living in forested northern regions of North America
n02114548,white_wolf,wolf of Arctic North America having white fur and a black-tipped tail
n02114712,red_wolf,reddish-grey wolf of southwestern North America
n02114855,coyote,small wolf native to western North America
n02115641,dingo,wolflike yellowish-brown wild dog of Australia
n02115913,dhole,fierce wild dog of the forests of central and southeast Asia that hunts in packs
n02116738,african_hunting_dog,a powerful doglike mammal of southern and eastern Africa that hunts in large packs; now rare in settled area
n02117135,hyena,doglike nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion
n02119022,red_fox,the common Old World fox; having reddish-brown fur; commonly considered a single circumpolar species
n02119789,kit_fox,small grey fox of southwestern United States; may be a subspecies of Vulpes velox
n02120079,arctic_fox,thickly-furred fox of Arctic regions; brownish in summer and white in winter
n02120505,grey_fox,dark grey American fox; from Central America through southern United States
n02123045,tabby,a cat with a grey or tawny coat mottled with black
n02123159,tiger_cat,a cat having a striped coat
n02123394,persian_cat,a long-haired breed of cat
n02123597,siamese_cat,a slender short-haired blue-eyed breed of cat having a pale coat with dark ears paws face and tail tip
n02124075,egyptian_cat,a domestic cat of Egypt
n02125311,cougar,large American feline resembling a lion
n02127052,lynx,short-tailed wildcats with usually tufted ears; valued for their fur
n02128385,leopard,large feline of African and Asian forests usually having a tawny coat with black spots
n02128757,snow_leopard,large feline of upland central Asia having long thick whitish fur
n02128925,jaguar,a large spotted feline of tropical America similar to the leopard; in some classifications considered a member of the genus Felis
n02129165,lion,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
n02129604,tiger,large feline of forests in most of Asia having a tawny coat with black stripes; endangered
n02130308,cheetah,long-legged spotted cat of Africa and southwestern Asia having nonretractile claws; the swiftest mammal; can be trained to run down game
n02132136,brown_bear,large ferocious bear of Eurasia
n02133161,american_black_bear,brown to black North American bear; smaller and less ferocious than the brown bear
n02134084,ice_bear,white bear of Arctic regions
n02134418,sloth_bear,common coarse-haired long-snouted bear of south-central Asia
n02137549,mongoose,agile grizzled Old World viverrine; preys on snakes and rodents
n02138441,meerkat,a mongoose-like viverrine of South Africa having a face like a lemur and only four toes
n02165105,tiger_beetle,active usually bright-colored beetle that preys on other insects
n02165456,ladybug,small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests
n02167151,ground_beetle,predacious shining black or metallic terrestrial beetle that destroys many injurious insects
n02168699,long-horned_beetle,long-bodied beetle having very long antennae
n02169497,leaf_beetle,brightly colored beetle that feeds on plant leaves; larvae infest roots and stems
n02172182,dung_beetle,any of numerous beetles that roll balls of dung on which they feed and in which they lay eggs
n02174001,rhinoceros_beetle,any of various large chiefly tropical beetles having horns on the head; pest on coconuts
n02177972,weevil,any of several families of mostly small beetles that feed on plants and plant products; especially snout beetles and seed beetles
n02190166,fly,two-winged insects characterized by active flight
n02206856,bee,any of numerous hairy-bodied insects including social and solitary species
n02219486,ant,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
n02226429,grasshopper,terrestrial plant-eating insect with hind legs adapted for leaping
n02229544,cricket,leaping insect; male makes chirping noises by rubbing the forewings together
n02231487,walking_stick,any of various mostly tropical insects having long twiglike bodies
n02233338,cockroach,any of numerous chiefly nocturnal insects; some are domestic pests
n02236044,mantis,predacious long-bodied large-eyed insect of warm regions; rests with forelimbs raised as in prayer
n02256656,cicada,stout-bodied insect with large membranous wings; male has drum-like organs for producing a high-pitched drone
n02259212,leafhopper,small leaping insect that sucks the juices of plants
n02264363,lacewing,any of two families of insects with gauzy wings (Chrysopidae and Hemerobiidae); larvae feed on insect pests such as aphids
n02268443,dragonfly,slender-bodied non-stinging insect having iridescent wings that are outspread at rest; adults and nymphs feed on mosquitoes etc.
n02268853,damselfly,slender non-stinging insect similar to but smaller than the dragonfly but having wings folded when at rest
n02276258,admiral,any of several brightly colored butterflies
n02277742,ringlet,any of various butterflies belonging to the family Satyridae
n02279972,monarch,large migratory American butterfly having deep orange wings with black and white markings; the larvae feed on milkweed
n02280649,cabbage_butterfly,white butterfly whose larvae (cabbageworms) feed on cabbage
n02281406,sulphur_butterfly,any of numerous yellow or orange butterflies
n02281787,lycaenid,any of various butterflies of the family Lycaenidae
n02317335,starfish,echinoderms characterized by five arms extending from a central disk
n02319095,sea_urchin,shallow-water echinoderms having soft bodies enclosed in thin spiny globular shells
n02321529,sea_cucumber,"echinoderm having a flexible sausage-shaped body, tentacles surrounding the mouth and tube feet; free-living mud feeders"
n02325366,wood_rabbit,common small rabbit of North America having greyish or brownish fur and a tail with a white underside; a host for Ixodes pacificus and Ixodes scapularis (Lyme disease ticks)
n02326432,hare,swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes
n02328150,angora,domestic breed of rabbit with long white silky hair
n02342885,hamster,short-tailed Old World burrowing rodent with large cheek pouches
n02346627,porcupine,relatively large rodents with sharp erectile bristles mingled with the fur
n02356798,fox_squirrel,exceptionally large arboreal squirrel of eastern United States
n02361337,marmot,stocky coarse-furred burrowing rodent with a short bushy tail found throughout the northern hemisphere; hibernates in winter
n02363005,beaver,large semiaquatic rodent with webbed hind feet and a broad flat tail; construct complex dams and underwater lodges
n02364673,guinea_pig,stout-bodied nearly tailless domesticated cavy; often kept as a pet and widely used in research
n02389026,sorrel,a horse of a brownish orange to light brown color
n02391049,zebra,any of several fleet black-and-white striped African equines
n02395406,hog,domestic swine
n02396427,wild_boar,Old World wild swine having a narrow body and prominent tusks from which most domestic swine come; introduced in United States
n02397096,warthog,African wild swine with warty protuberances on the face and large protruding tusks
n02398521,hippopotamus,massive thick-skinned herbivorous animal living in or around rivers of tropical Africa
n02403003,ox,an adult castrated bull of the genus Bos; especially Bos taurus
n02408429,water_buffalo,an Asian buffalo that is often domesticated for use as a draft animal
n02410509,bison,any of several large humped bovids having shaggy manes and large heads and short horns
n02412080,ram,uncastrated adult male sheep
n02415577,bighorn,wild sheep of mountainous regions of western North America having massive curled horns
n02417914,ibex,wild goat of mountain areas of Eurasia and northern Africa having large recurved horns
n02422106,hartebeest,a large African antelope with lyre-shaped horns that curve backward
n02422699,impala,African antelope with ridged curved horns; moves with enormous leaps
n02423022,gazelle,small swift graceful antelope of Africa and Asia having lustrous eyes
n02437312,arabian_camel,one-humped camel of the hot deserts of northern Africa and southwestern Asia
n02437616,llama,wild or domesticated South American cud-chewing animal related to camels but smaller and lacking a hump
n02441942,weasel,small carnivorous mammal with short legs and elongated body and neck
n02442845,mink,slender-bodied semiaquatic mammal having partially webbed feet; valued for its fur
n02443114,polecat,dark brown mustelid of woodlands of Eurasia that gives off an unpleasant odor when threatened
n02443484,black-footed_ferret,musteline mammal of prairie regions of United States; nearly extinct
n02444819,otter,freshwater carnivorous mammal having webbed and clawed feet and dark brown fur
n02445715,skunk,American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separate subfamily Mephitinae
n02447366,badger,sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere
n02454379,armadillo,burrowing chiefly nocturnal mammal with body covered with strong horny plates
n02457408,three-toed_sloth,a sloth that has three long claws on each forefoot and each hindfoot
n02480495,orangutan,large long-armed ape of Borneo and Sumatra having arboreal habits
n02480855,gorilla,largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa
n02481823,chimpanzee,intelligent somewhat arboreal ape of equatorial African forests
n02483362,gibbon,smallest and most perfectly anthropoid arboreal ape having long arms and no tail; of southern Asia and East Indies
n02483708,siamang,large black gibbon of Sumatra having the 2nd and 3rd toes partially united by a web
n02484975,guenon,small slender African monkey having long hind limbs and tail and long hair around the face
n02486261,patas,reddish long-tailed monkey of west Africa
n02486410,baboon,large terrestrial monkeys having doglike muzzles
